sigla_uf,cnae_2_subclasse,n
SP,5231102,11322
RJ,5231102,5808
PR,5231102,3802
SC,5231102,3238
ES,5231102,2422
PA,5231102,1908
RS,5231102,1411
CE,5231102,1315
SP,5231101,1139
PE,5231102,1043
BA,5231101,963
MA,5231102,921
BA,5231102,558
AM,5231102,529
RO,5231102,315
AL,5231102,273
ES,5231101,258
PE,5231101,217
GO,5231102,192
SC,5231101,127
RS,5231101,122
RJ,5231101,119
SE,5231102,89
RO,5231101,75
AP,5231102,71
PB,5231102,53
MS,5231102,45
MG,5231102,32
AM,5231101,22
PA,5231101,16
MS,5231101,10
AP,5231101,10
RN,5231102,10
PI,5231101,8
TO,5231101,2
MA,5231101,1
MG,5231101,1
